feature,importance
rolling_mean_5,0.16434356606220027
rolling_mean_10,0.09234134151371844
high_lag1,0.0902920548370356
avg_range_10,0.04138450987225346
avg_range_5,0.025350688287491815
embed_42,0.023162500936955644
atr_14,0.018645824900238625
close_lag1,0.017537305514999414
close_lag3,0.010523529617867188
open_lag1,0.009505671535694052
embed_57,0.0077312374288510234
embed_7,0.006665008841534597
close_lag2,0.0063476778722450266
range_1,0.006117746033921466
volume_spike,0.005888340067467076
avg_gap_5,0.00504954942660381
embed_39,0.004810074114638114
embed_34,0.004699195562076139
rolling_std_5,0.00454815231531593
day_of_year,0.004508144666259073
embed_29,0.003645497261816839
week_of_year,0.003583839916445906
embed_14,0.0035465343590719766
avg_close_pos_5,0.003290570432047433
embed_51,0.0030284281780964856
embed_8,0.0026294182847896182
embed_56,0.00249538497826064
embed_13,0.00237235678979487
day_of_week,0.0022778840358008857
embed_36,0.002194264895938115
low_lag1,0.00211496699218222
embed_6,0.0020734428067344813
return_3,0.0020692384628358987
embed_60,0.0019395408507910166
embed_17,0.0018808260849111846
embed_40,0.0017049282673213836
embed_47,0.0016737212429063203
embed_10,0.001628071756186959
range_acceleration,0.0015593408553999939
embed_31,0.0015359887704385128
close_pos_1,0.0015218577788791829
return_5,0.0014918748210383187
embed_5,0.0014408946932993152
embed_33,0.0014178538155517814
embed_48,0.001409654443488992
embed_15,0.0012436238340648997
embed_9,0.0012114565690367512
lower_shadow_1,0.0011993033807664141
embed_62,0.0011963277860912076
rolling_std_10,0.0011660181823989297
month,0.0011518731864244285
embed_26,0.0011420885868356177
embed_23,0.0011177963555025448
embed_45,0.0010115893237937117
embed_54,0.0009830424944113827
embed_16,0.0009408729158561972
range_z_score_10,0.0009326857079539105
gap_1,0.0009241203780128617
upper_shadow_1,0.0008669578344491108
embed_43,0.0008568348022482973
embed_22,0.0008462257982339948
embed_2,0.000840765329388574
body_ratio_1,0.0007921060752787405
avg_gap_10,0.0007751371164873333
embed_52,0.0007717105373916943
embed_12,0.0006583384027393348
embed_59,0.0005679100278451142
embed_25,0.0005458952473902509
volume_change,0.0005418625624859408
return_1,0.0005277161322758999
embed_27,0.0005266554469226225
embed_1,0.0005258986765786552
embed_53,0.0004602771208307186
embed_35,0.00045649513321315303
embed_20,0.0004302543458870809
embed_21,0.00041966468315959447
range_expansion_ratio,0.00041472230549877636
range_momentum,0.00037583372785230995
embed_44,0.00037190989102957447
embed_19,0.00036865965532772413
embed_63,0.00036282672559103334
embed_46,0.0003395247574491821
embed_4,0.0003385867651442802
embed_55,0.00031597024950431467
pct_return_5,0.00031039990250202867
embed_30,0.000302035351012397
embed_49,0.00029387024205184434
embed_3,0.0002734867552321037
embed_50,0.0002661509593529064
embed_11,0.00025816812215062607
embed_38,0.00021185666920322464
embed_58,0.00021056703093229288
embed_28,0.00021013019719572966
embed_24,0.00018271943602827194
embed_37,0.00018200121662488073
embed_41,0.0001518091104720252
range_breakout,0.00014034399952183256
embed_61,0.00013206354722361877
embed_0,0.0001311817484206474
embed_32,0.00010231833856102761
pct_return_1,8.732127461239783e-05
embed_18,4.001068333252405e-05
volume_1,0.0
avg_volume_5,0.0
